ID;ID HTT;IP;MAC;Device;Root Device;LAN Port;VLAN;Local;Local (RU);ant_local;ant_name;Coordinat;Data Install;Data Update;Data Human;
114;device_113;192.168.200.118 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966435;12-20 08-07-2025;
115;device_114;192.168.200.119 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966435;12-20 08-07-2025;
116;00.01.05;192.168.200.121;MAC address not found;-;-;0;1;-;КПП_1;KPP1-EntryPoint;;-;1609459200;1751966436;12-20 08-07-2025;
117;device_116;192.168.200.124;MAC address not found;-;-;0;1;-;;;;-;1609459200;1751966436;12-20 08-07-2025;
118;00.09.01;192.168.200.125 ;MAC address not found;-;-;1;1;-;Спорт двор кам 1;Спорт двор;;-;1609459200;1751966436;12-20 08-07-2025;
119;device_118;192.168.200.127;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966436;12-20 08-07-2025;
120;device_119;192.168.200.128;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966436;12-20 08-07-2025;
121;device_120;192.168.200.131;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966437;12-20 08-07-2025;
122;device_121;192.168.200.132 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966437;12-20 08-07-2025;
123;device_122;192.168.200.132 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966437;12-20 08-07-2025;
124;01.03.04;192.168.200.138;MAC address not found;-;-;0;1;Solnechnaya Tenistay;-;Солнечная Тенистая;1.3 Cam-4;-;1609459200;1751966437;12-20 08-07-2025;
125;device_124;192.168.200.141 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966437;12-20 08-07-2025;
126;01.03.02;192.168.200.150 ;MAC address not found;-;-;0;1;Solnechnaya Tenistay;-;Солнечная Тенистая;1.3 Cam-2;-;1609459200;1751966437;12-20 08-07-2025;
127;"01.03.01
";192.168.200.151 ;MAC address not found;-;-;0;1;Solnechnaya Tenistay;-;Солнечная Тенистая;1.3 Cam-1;-;1609459200;1751966438;12-20 08-07-2025;
